step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
27000,2.5048828125,low_y_low_z,-2.832393313332747e-08,4.592628628502895e-06,4.81647047783424e-07,4.81647047783424e-07
27000,2.5048828125,low_y_high_z,-8.82259583725427e-09,4.603520238959279e-06,4.836363326446465e-07,4.836363326446465e-07
27000,2.5048828125,high_y_low_z,-3.1157928921712067e-09,4.581947823949309e-06,4.825099923168933e-07,4.825099923168933e-07
27000,2.5048828125,high_y_high_z,-5.7399237792670375e-08,4.5995697184971605e-06,4.814379063539461e-07,4.814379063539461e-07
30000,2.783203125,low_y_low_z,-1.5853512809157178e-08,4.4437265749366824e-06,5.077060892204311e-07,5.077060892204311e-07
30000,2.783203125,low_y_high_z,-1.5579451641368307e-08,4.414705623119609e-06,5.076264372810613e-07,5.076264372810613e-07
30000,2.783203125,high_y_low_z,7.39271110341723e-09,4.429207666181785e-06,5.086333800634121e-07,5.086333800634121e-07
30000,2.783203125,high_y_high_z,-5.0546877397792e-08,4.439366085994106e-06,5.083954537645465e-07,5.083954537645465e-07
33000,3.0615234375,low_y_low_z,-3.0127222540927304e-08,4.252743873022864e-06,5.323551338505553e-07,5.323551338505553e-07
33000,3.0615234375,low_y_high_z,-2.6454801789861056e-08,4.269752220602044e-06,5.330419791074376e-07,5.330419791074376e-07
33000,3.0615234375,high_y_low_z,2.7215230621564708e-08,4.218693993218306e-06,5.342793126299111e-07,5.342793126299111e-07
33000,3.0615234375,high_y_high_z,-6.508149401811538e-08,4.254488831383523e-06,5.344678576249738e-07,5.344678576249738e-07
36000,3.33984375,low_y_low_z,-3.38895143404191e-08,4.094632944828538e-06,5.612125974120867e-07,5.612125974120867e-07
36000,3.33984375,low_y_high_z,-1.6340561193723598e-08,4.110454690559736e-06,5.604682820941449e-07,5.604682820941449e-07
36000,3.33984375,high_y_low_z,3.1018632277860605e-08,4.080763018861749e-06,5.603404648356755e-07,5.603404648356755e-07
36000,3.33984375,high_y_high_z,-5.300316516024842e-08,4.102813929345637e-06,5.597525707026098e-07,5.597525707026098e-07
39000,3.6181640625,low_y_low_z,-3.6637388237046e-08,3.935094005278379e-06,5.877869383804087e-07,5.877869383804087e-07
39000,3.6181640625,low_y_high_z,-2.619336212361337e-08,3.957186174047934e-06,5.87622326710793e-07,5.87622326710793e-07
39000,3.6181640625,high_y_low_z,2.1906018314627672e-08,3.923562949923639e-06,5.880644745404722e-07,5.880644745404722e-07
39000,3.6181640625,high_y_high_z,-3.5804127203140826e-08,3.937648820163802e-06,5.872750381538825e-07,5.872750381538825e-07
42000,3.896484375,low_y_low_z,-1.4908052566214497e-08,3.792934200194079e-06,6.205075674880039e-07,6.205075674880039e-07
42000,3.896484375,low_y_high_z,-4.227168027447248e-08,3.770744389313619e-06,6.186059087147394e-07,6.186059087147394e-07
42000,3.896484375,high_y_low_z,2.3853346987537422e-08,3.7731727186335837e-06,6.225426677320667e-07,6.225426677320667e-07
42000,3.896484375,high_y_high_z,-2.7297166249746344e-08,3.782284581670762e-06,6.179403161401788e-07,6.179403161401788e-07
45000,4.1748046875,low_y_low_z,-2.3926633907736647e-08,3.6380103639749266e-06,6.483038116359698e-07,6.483038116359698e-07
45000,4.1748046875,low_y_high_z,-4.109128485504117e-08,3.626201772511069e-06,6.509268330484418e-07,6.509268330484418e-07
45000,4.1748046875,high_y_low_z,9.55482747347313e-09,3.6432722049432117e-06,6.519764953297269e-07,6.519764953297269e-07
45000,4.1748046875,high_y_high_z,-9.902894191558128e-09,3.6352241327071935e-06,6.533809846941866e-07,6.533809846941866e-07
48000,4.453125,low_y_low_z,-2.61914441414722e-08,3.511560723075978e-06,6.864175161755874e-07,6.864175161755874e-07
48000,4.453125,low_y_high_z,-1.8654612508820288e-08,3.4916382307562028e-06,6.858501643650639e-07,6.858501643650639e-07
48000,4.453125,high_y_low_z,2.385469235843903e-08,3.504402699769613e-06,6.875441603581017e-07,6.875441603581017e-07
48000,4.453125,high_y_high_z,-2.626732446265241e-08,3.4989620660425136e-06,6.899718928312206e-07,6.899718928312206e-07
51000,4.7314453125,low_y_low_z,-6.092119844675038e-09,3.3492203218269976e-06,7.211933374921842e-07,7.211933374921842e-07
51000,4.7314453125,low_y_high_z,-6.504677386274902e-08,3.3510884647844673e-06,7.245037220290824e-07,7.245037220290824e-07
