case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Mirror Moderate Bi-Kappa 3,ion,10000,1.3194444444444444,2.000934362411499,0.49976651847530545,2.0038671493530273,1.928133249282837,2.081085681915283,4.975347995758057,4.954254150390625,4.765654563903809,5.159877300262451,1.20099096602943,0.799943396382069,331776
Mirror Moderate Bi-Kappa 3,ion,10500,1.3854166666666667,2.0010690689086914,0.4997328755600439,2.0037131309509277,1.9285165071487427,2.0812363624572754,4.974428653717041,4.953575134277344,4.764158248901367,5.159248352050781,1.2010281118923618,0.8000409570163296,331776
Mirror Moderate Bi-Kappa 3,ion,11000,1.4513888888888888,2.001207113265991,0.49969840371394114,2.004088878631592,1.928480625152588,2.0813751220703125,4.97351598739624,4.95262336730957,4.762783050537109,5.159402370452881,1.2010650016073487,0.8001421116586425,331776
Mirror Moderate Bi-Kappa 3,ion,11500,1.5173611111111112,2.0013363361358643,0.49966613904126567,2.0039587020874023,1.9286586046218872,2.0813965797424316,4.972628593444824,4.952635288238525,4.7626237869262695,5.157607555389404,1.2011008828043686,0.8002354533314957,331776
Mirror Moderate Bi-Kappa 3,ion,12000,1.5833333333333335,2.0014588832855225,0.49963554502725344,2.0041003227233887,1.9288537502288818,2.081557512283325,4.971733570098877,4.951085090637207,4.761290550231934,5.155754089355469,1.2011370854653647,0.8003217978201578,331776
Mirror Moderate Bi-Kappa 3,ion,12500,1.6493055555555556,2.00158953666687,0.49960293141082335,2.004190444946289,1.9289731979370117,2.081665515899658,4.9708404541015625,4.949774265289307,4.7605366706848145,5.156075477600098,1.2011732239715873,0.8004163126952828,331776
Mirror Moderate Bi-Kappa 3,ion,13000,1.715277777777778,2.0017223358154297,0.49956978653217454,2.004563570022583,1.9288780689239502,2.0815987586975098,4.969939231872559,4.949483871459961,4.759514331817627,5.155181884765625,1.2012097036492784,0.8005126321661513,331776
Mirror Moderate Bi-Kappa 3,ion,13500,1.78125,2.0018537044525146,0.4995370030166561,2.004430055618286,1.9291634559631348,2.0818514823913574,4.969034671783447,4.948038101196289,4.759029388427734,5.154029369354248,1.2012463317429596,0.8006073727095551,331776
Mirror Moderate Bi-Kappa 3,ion,14000,1.8472222222222223,2.0019876956939697,0.49950356945293795,2.004863739013672,1.929634928703308,2.0822434425354004,4.968135833740234,4.94708251953125,4.758461952209473,5.153059482574463,1.201282741347101,0.8007049543468687,331776
Mirror Moderate Bi-Kappa 3,ion,14500,1.9131944444444446,2.00211763381958,0.49947115149884075,2.005077362060547,1.9296566247940063,2.0824685096740723,4.967251777648926,4.946958541870117,4.755692481994629,5.152632236480713,1.2013185650261753,0.8007990687934048,331776
