step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
14500,1.9131944444444446,0.000771063350849232,0.0096382918856154,0.0007706978596515095,0.009633723245643868,0.0017447237371026963,0.021809046713783704,0.07650620093145499,0.04367248835681259,0.15245225694444445,2.9726934551142295e-07
15000,1.979166666666667,0.0007731173766093757,0.009663967207617195,0.0007727015846442114,0.009658769808052642,0.0017458267898461544,0.02182283487307693,0.07659488091964932,0.042563988504383476,0.15227141203703703,2.9885523900768164e-07
15500,2.045138888888889,0.0007793837919084062,0.009742297398855076,0.0007789711157893262,0.009737138947366577,0.0017478930842936794,0.021848663553670992,0.07657797665513368,0.042775291810829064,0.1528832706404321,3.037195475447629e-07
16000,2.111111111111111,0.0007819754375431826,0.009774692969289784,0.0007816497033462261,0.009770621291827826,0.0017473424855552263,0.02184178106944033,0.07645786824838431,0.04427664689519617,0.1527777777777778,3.0574279246042593e-07
16500,2.1770833333333335,0.0007872949687585187,0.009841187109481484,0.0007869310253643937,0.00983663781705492,0.0017534431914638566,0.021918039893298207,0.07635855982366373,0.045518002204203434,0.1525366512345679,3.099166839162385e-07
17000,2.243055555555556,0.0007911975563465566,0.009889969454331958,0.000790901997973751,0.009886274974671889,0.0017503891215169608,0.021879864018962008,0.0763196357596603,0.04600455300424622,0.15311836902006173,3.1299678658438126e-07
17500,2.3090277777777777,0.0007948432025284386,0.009935540031605482,0.0007943756428522515,0.009929695535653144,0.0017515675424966582,0.021894594281208227,0.07632798273727771,0.045900215784028586,0.15263611593364199,3.1588785830283224e-07
18000,2.375,0.0007985791924910719,0.009982239906138399,0.0007982319051180381,0.009977898813975476,0.0017534985924787156,0.021918732405983944,0.07665573860540965,0.04180326743237939,0.1537061149691358,3.188643633398463e-07
18500,2.4409722222222223,0.0008016508997555986,0.010020636246944981,0.0008012898953643648,0.010016123692054561,0.0017566696800438808,0.02195837100054851,0.07595130773660291,0.05060865329246356,0.15364884741512347,3.2132208253948037e-07
19000,2.5069444444444446,0.0008068479203317976,0.01008559900414747,0.0008064898294476328,0.01008112286809541,0.0017573744975826143,0.02196718121978268,0.07624671467455098,0.04691606656811276,0.15291642554012347,3.2550178327187344e-07
19500,2.572916666666667,0.0008076682462966751,0.01009585307870844,0.0008073263210508862,0.010091579013136077,0.0017583304132458876,0.021979130165573596,0.07631227087563852,0.04609661405451848,0.15240101755401234,3.261639980379733e-07
20000,2.638888888888889,0.000812484361590511,0.010156054519881387,0.0008121702193651291,0.010152127742064114,0.0017616203857728338,0.022020254822160423,0.07620763390386606,0.047404576201674264,0.15250048225308643,3.300654189145701e-07
20500,2.704861111111111,0.0008139218085277589,0.010174022606596986,0.0008135641617827031,0.01016955202228379,0.00176015879868251,0.022001984983531377,0.0761692037519192,0.04788495310101004,0.15309425636574073,3.3123435519854887e-07
21000,2.7708333333333335,0.0008184573361950337,0.010230716702437921,0.0008181229169674481,0.010226536462093101,0.00176347231404855,0.022043403925606875,0.07639212225312139,0.04509847183598259,0.15278380594135801,3.349362055857352e-07
