step,omega_ci_t,A_mean,A_median,A_p10,A_p90,T_parallel_mean,T_perp_mean,beta_parallel_mean,beta_parallel_median
10000,1.3194444444444444,2.0068649528536504,2.005003590169597,1.8611036560820988,2.1553758494710427,0.01592229018608561,0.03187782279557192,4.974601124774135,4.9520767382821695
10500,1.3854166666666667,2.006993378183436,2.0049976230669277,1.861889578152071,2.1557285640011967,0.01591940053807397,0.03187424246338831,4.973716931481535,4.951139019901133
11000,1.4513888888888888,2.0071384619629544,2.00537954412309,1.8615359835567946,2.1556107731465977,0.015916406520271337,0.03187064480339944,4.9728210181154475,4.950435619780958
11500,1.5173611111111112,2.0072498893732087,2.0052924910056324,1.8620492923776217,2.1556117347976556,0.015913584158211258,0.031867088970260714,4.971940570856437,4.95022593687637
12000,1.5833333333333335,2.0073705340989707,2.0052195221393974,1.8622966143276032,2.1555162662593927,0.015910742938351752,0.03186345843366834,4.971038627256393,4.948749174884265
12500,1.6493055555555556,2.0075191561065284,2.0052717092589605,1.8623616281773538,2.15615425386449,0.015907828726153955,0.03185975246074532,4.9701888820412785,4.94750687188283
13000,1.715277777777778,2.007666912230473,2.005716152357338,1.8624609033986634,2.1558354866533573,0.01590500645893121,0.0318562812847612,4.969305034125581,4.947222759300807
13500,1.78125,2.0077863679681354,2.0056881111404783,1.862324790831798,2.1564502937722647,0.01590215951906161,0.031852607637639745,4.968439662244111,4.9459307567878
14000,1.8472222222222223,2.0079400455804564,2.006175968940081,1.8622422295235652,2.1560926400158023,0.015899379098940996,0.031849008962798374,4.967515424767748,4.944698269415509
14500,1.9131944444444446,2.0080493768659258,2.0062605882332116,1.862670133092217,2.156291282521151,0.01589649549715619,0.031845415779314684,4.966719381401106,4.944533386742664
15000,1.979166666666667,2.008196676230417,2.0060739572660355,1.8628344615441739,2.156868203260771,0.015893698766098398,0.03184194608118596,4.965814738794588,4.943689820423671
15500,2.045138888888889,2.00827525253013,2.0065229656792325,1.863090782241228,2.1567661821903936,0.015890973724039706,0.0318380832298116,4.964980099436609,4.942656925923168
16000,2.111111111111111,2.008452353084149,2.006466474013909,1.8629590395233517,2.1573511882159684,0.015888111102959932,0.031834618424062856,4.964113751741822,4.942543341333204
16500,2.1770833333333335,2.0085782621142467,2.0066383596079294,1.8627771523306609,2.1570669486829734,0.015885314179865898,0.03183113158314675,4.963271161395147,4.941341024847716
17000,2.243055555555556,2.008663809651494,2.006772184305224,1.8633540254078516,2.157059059324541,0.015882577360922197,0.03182745918388264,4.962405086593938,4.940034438440436
17500,2.3090277777777777,2.008748791942698,2.0069170807635617,1.863213318573679,2.156886754108406,0.015879918328332288,0.031823818364195004,4.961550097843007,4.939937095493921
18000,2.375,2.0088936798399697,2.006879750649387,1.863435696512522,2.157255155350007,0.015877109847109137,0.03182029792476749,4.960739592931679,4.9387730854931835
18500,2.4409722222222223,2.0090323071364695,2.007143015063551,1.8635405370232778,2.1574317177391977,0.01587439725789772,0.03181672353765088,4.959878387027632,4.9374140135553395
19000,2.5069444444444446,2.0091467902670597,2.007322215652701,1.8637450820200803,2.157227409100934,0.015871733059680055,0.031813181244339746,4.9590489295520035,4.936868996754379
