step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
9500,1.2534722222222223,low_y_high_z,-3.719671017813682e-09,2.4113098505821857e-06,1.0628277936951468e-05,1.0628277936951468e-05
9500,1.2534722222222223,high_y_low_z,8.948505808135994e-09,2.4060744969580658e-06,1.0600851951135602e-05,1.0600851951135602e-05
9500,1.2534722222222223,high_y_high_z,-7.99401793710233e-09,2.403810776088823e-06,1.0618840382811069e-05,1.0618840382811069e-05
10000,1.3194444444444444,low_y_low_z,-1.2632682330375502e-09,2.39245654811129e-06,1.0625660407548772e-05,1.0625660407548772e-05
10000,1.3194444444444444,low_y_high_z,-1.6617269798215912e-09,2.413890435876676e-06,1.0666164292762469e-05,1.0666164292762469e-05
10000,1.3194444444444444,high_y_low_z,4.795550973515316e-09,2.4049044304371006e-06,1.0620330885261507e-05,1.0620330885261507e-05
10000,1.3194444444444444,high_y_high_z,-1.8497952472549452e-09,2.4121804168190644e-06,1.0643884781719481e-05,1.0643884781719481e-05
10500,1.3854166666666667,low_y_low_z,4.366888073378541e-09,2.4114630816127978e-06,1.0621606180589401e-05,1.0621606180589401e-05
10500,1.3854166666666667,low_y_high_z,-1.8398179650515136e-09,2.409794677721563e-06,1.06015942324295e-05,1.06015942324295e-05
10500,1.3854166666666667,high_y_low_z,1.2542297735247037e-10,2.4082653486799417e-06,1.0636350718706373e-05,1.0636350718706373e-05
10500,1.3854166666666667,high_y_high_z,-4.342681230126355e-09,2.4032389837767747e-06,1.0631302460423219e-05,1.0631302460423219e-05
11000,1.4513888888888888,low_y_low_z,-6.7749940379451e-09,2.415743203578751e-06,1.0656938736610585e-05,1.0656938736610585e-05
11000,1.4513888888888888,low_y_high_z,2.8245230760562557e-09,2.4026101337788276e-06,1.061185947795841e-05,1.061185947795841e-05
11000,1.4513888888888888,high_y_low_z,1.9805201828707933e-09,2.4068718621145154e-06,1.0599702250825673e-05,1.0599702250825673e-05
11000,1.4513888888888888,high_y_high_z,-1.955660110850775e-09,2.405054559997184e-06,1.0609504052522197e-05,1.0609504052522197e-05
