case,species,step,omega_ci_t,anisotropy_global,parallel_over_perpendicular_global,anisotropy_median,anisotropy_p25,anisotropy_p75,beta_parallel_global,beta_parallel_median,beta_parallel_p25,beta_parallel_p75,marginal_threshold,instability_drive,valid_cells
Mirror Moderate Bi-Maxwellian,ion,31000,4.090277777777778,2.0043511390686035,0.4989145766468281,2.004718065261841,1.95614492893219,2.0546889305114746,4.949433326721191,4.947613716125488,4.814845561981201,5.083124160766602,1.2020433318297594,0.8023078072388441,331776
Mirror Moderate Bi-Maxwellian,ion,31500,4.15625,2.004415512084961,0.4988985537034764,2.004805564880371,1.9561820030212402,2.0549089908599854,4.948736667633057,4.947068214416504,4.8143630027771,5.083264350891113,1.2020717745077134,0.8023437375772475,331776
Mirror Moderate Bi-Maxwellian,ion,32000,4.222222222222222,2.004499673843384,0.49887760674094894,2.004669189453125,1.9562735557556152,2.054762125015259,4.948000431060791,4.946488857269287,4.813996315002441,5.0819220542907715,1.2021018417303597,0.8023978321130241,331776
Mirror Moderate Bi-Maxwellian,ion,32500,4.288194444444445,2.004594564437866,0.4988539915952644,2.00496244430542,1.956304669380188,2.055058002471924,4.947244167327881,4.945710182189941,4.812971115112305,5.080799102783203,1.2021327361612966,0.8024618282765696,331776
Mirror Moderate Bi-Maxwellian,ion,33000,4.354166666666667,2.0046703815460205,0.4988351248192686,2.0050034523010254,1.956319808959961,2.054924964904785,4.946534156799316,4.944945335388184,4.811957359313965,5.081101417541504,1.2021617496819341,0.8025086318640864,331776
Mirror Moderate Bi-Maxwellian,ion,33500,4.420138888888889,2.0047638416290283,0.49881186962521296,2.005131483078003,1.9565049409866333,2.0551578998565674,4.945778846740723,4.943940162658691,4.811239242553711,5.080267906188965,1.2021926234447384,0.8025712181842899,331776
Mirror Moderate Bi-Maxwellian,ion,34000,4.486111111111112,2.0048277378082275,0.49879597191389985,2.005363941192627,1.9563796520233154,2.055121898651123,4.9450602531433105,4.942883491516113,4.8104352951049805,5.079338073730469,1.202222005154407,0.8026057326538205,331776
Mirror Moderate Bi-Maxwellian,ion,34500,4.552083333333334,2.0049192905426025,0.4987731948697867,2.005354642868042,1.956497311592102,2.055359125137329,4.944332122802734,4.942765235900879,4.809473037719727,5.078745365142822,1.2022517855117592,0.8026675050308434,331776
Mirror Moderate Bi-Maxwellian,ion,35000,4.618055555555555,2.0049855709075928,0.49875670653696125,2.005272388458252,1.9566236734390259,2.0552518367767334,4.94362735748291,4.941628456115723,4.808526992797852,5.078703880310059,1.2022806186000958,0.8027049523074969,331776
Mirror Moderate Bi-Maxwellian,ion,35500,4.684027777777778,2.005073308944702,0.49873488193123167,2.005476951599121,1.9566620588302612,2.055483102798462,4.9428935050964355,4.941323280334473,4.807886123657227,5.078268051147461,1.2023106504254921,0.80276265851921,331776
Mirror Moderate Bi-Maxwellian,ion,36000,4.75,2.0051515102386475,0.49871543117506506,2.005347490310669,1.956810712814331,2.055513381958008,4.942152500152588,4.940603256225586,4.806928634643555,5.077406406402588,1.2023409840083092,0.8028105262303382,331776
Mirror Moderate Bi-Maxwellian,ion,36500,4.815972222222222,2.005239963531494,0.4986934323006744,2.005660057067871,1.9568623304367065,2.055802822113037,4.941420078277588,4.939867973327637,4.806103229522705,5.076529026031494,1.202370975176951,0.8028689883545432,331776
Mirror Moderate Bi-Maxwellian,ion,37000,4.881944444444445,2.0053305625915527,0.49867090177275714,2.005772113800049,1.957106113433838,2.0556602478027344,4.940674781799316,4.938972473144531,4.805330276489258,5.076738357543945,1.2024015026619128,0.8029290599296399,331776
Mirror Moderate Bi-Maxwellian,ion,37500,4.947916666666667,2.0054073333740234,0.49865181170826633,2.00569748878479,1.9571473598480225,2.0556488037109375,4.9399638175964355,4.938704013824463,4.805150508880615,5.0745625495910645,1.2024306324750684,0.802976700898955,331776
Mirror Moderate Bi-Maxwellian,ion,38000,5.013888888888889,2.0054931640625,0.49863047050946496,2.0058884620666504,1.957162857055664,2.0560460090637207,4.939219951629639,4.937620162963867,4.803138256072998,5.075315475463867,1.20246111932514,0.80303204473736,331776
Mirror Moderate Bi-Maxwellian,ion,38500,5.079861111111112,2.0055689811706543,0.4986116206366027,2.0059738159179688,1.9572739601135254,2.055908679962158,4.938497066497803,4.937321662902832,4.802610874176025,5.074357986450195,1.2024907550890098,0.8030782260816445,331776
Mirror Moderate Bi-Maxwellian,ion,39000,5.145833333333334,2.0056464672088623,0.49859235730195256,2.006044387817383,1.9570749998092651,2.056110382080078,4.937784194946289,4.936134338378906,4.802098274230957,5.073178291320801,1.2025199888288916,0.8031264783799708,331776
Mirror Moderate Bi-Maxwellian,ion,39500,5.211805555555555,2.0057132244110107,0.4985757623917825,2.0061097145080566,1.9574846029281616,2.055896759033203,4.937081336975098,4.935580253601074,4.800851821899414,5.073151588439941,1.2025488201927599,0.8031644042182509,331776
Mirror Moderate Bi-Maxwellian,ion,40000,5.277777777777778,2.005798578262329,0.49855454622284345,2.006234645843506,1.9575105905532837,2.056041717529297,4.936331748962402,4.934587478637695,4.800775051116943,5.071647644042969,1.2025795774788022,0.8032190007835269,331776
Mirror Moderate Bi-Maxwellian,ion,40500,5.34375,2.0058674812316895,0.4985374205208994,2.0061678886413574,1.9573618173599243,2.05645489692688,4.935629844665527,4.934107780456543,4.799715042114258,5.071348667144775,1.20260838666433,0.8032590945673594,331776
Mirror Moderate Bi-Maxwellian,ion,41000,5.409722222222222,2.0059523582458496,0.49851632611777114,2.006228446960449,1.9574893712997437,2.056476354598999,4.934901714324951,4.933161735534668,4.798648834228516,5.071681976318359,1.20263828094027,0.8033140773055796,331776
Mirror Moderate Bi-Maxwellian,ion,41500,5.475694444444445,2.0060386657714844,0.4984948780214159,2.006344795227051,1.9574776887893677,2.056516408920288,4.9341654777526855,4.932797908782959,4.797997951507568,5.070420265197754,1.20266851699823,0.8033701487732543,331776
Mirror Moderate Bi-Maxwellian,ion,42000,5.541666666666667,2.006118059158325,0.49847514977236884,2.0065932273864746,1.9579360485076904,2.0564124584198,4.933444976806641,4.931818962097168,4.797454833984375,5.069915771484375,1.2026981155564216,0.8034199436019036,331776
Mirror Moderate Bi-Maxwellian,ion,42500,5.607638888888889,2.0061826705932617,0.4984590958032168,2.0065841674804688,1.957939624786377,2.0565500259399414,4.932748794555664,4.9309611320495605,4.797255516052246,5.068747520446777,1.2027267233035894,0.8034559472896723,331776
Mirror Moderate Bi-Maxwellian,ion,43000,5.673611111111112,2.006267547607422,0.498438008027669,2.0067782402038574,1.957871675491333,2.0565261840820312,4.932014465332031,4.930533409118652,4.796125411987305,5.067791938781738,1.2027569073507731,0.8035106402566488,331776
Mirror Moderate Bi-Maxwellian,ion,43500,5.739583333333334,2.0063390731811523,0.4984202388155903,2.0067195892333984,1.9579248428344727,2.056554079055786,4.931305408477783,4.9295806884765625,4.795711994171143,5.067330360412598,1.202786061127105,0.8035530120540473,331776
Mirror Moderate Bi-Maxwellian,ion,44000,5.805555555555555,2.0064220428466797,0.49839962811673255,2.006845474243164,1.957957148551941,2.0567145347595215,4.930580139160156,4.92915153503418,4.794675827026367,5.066653251647949,1.2028158901744033,0.8036061526722764,331776
Mirror Moderate Bi-Maxwellian,ion,44500,5.871527777777778,2.0065066814422607,0.4983786045911435,2.0070362091064453,1.9582942724227905,2.0567665100097656,4.9298553466796875,4.928478240966797,4.793621063232422,5.066816329956055,1.2028457083783424,0.8036609730639184,331776
Mirror Moderate Bi-Maxwellian,ion,45000,5.9375,2.0065908432006836,0.49835770126654955,2.007030487060547,1.958298683166504,2.0569348335266113,4.929114818572998,4.927227020263672,4.792548179626465,5.0653886795043945,1.2028761830079473,0.8037146601927363,331776
Mirror Moderate Bi-Maxwellian,ion,45500,6.003472222222222,2.0066490173339844,0.4983432535344875,2.006837844848633,1.9582644701004028,2.056947946548462,4.928445816040039,4.926734447479248,4.7921366691589355,5.065380096435547,1.2029037220507561,0.8037452952832282,331776
Mirror Moderate Bi-Maxwellian,ion,46000,6.069444444444445,2.006730318069458,0.4983230636401774,2.007279396057129,1.9583864212036133,2.056900978088379,4.9277238845825195,4.925854682922363,4.791719436645508,5.063945770263672,1.202933448265785,0.803796869803673,331776
Mirror Moderate Bi-Maxwellian,ion,46500,6.135416666666667,2.006819725036621,0.49830086256589473,2.007232666015625,1.9584136009216309,2.0571787357330322,4.926976680755615,4.925661563873291,4.79025936126709,5.064356327056885,1.202964224268794,0.8038555007678272,331776
Mirror Moderate Bi-Maxwellian,ion,47000,6.201388888888889,2.006880760192871,0.49828570776865444,2.007411479949951,1.9584200382232666,2.0572102069854736,4.926300525665283,4.925107002258301,4.789701461791992,5.063275337219238,1.2029920819467166,0.8038886782461545,331776
Mirror Moderate Bi-Maxwellian,ion,47500,6.267361111111112,2.006948232650757,0.4982689556866199,2.007214069366455,1.9585109949111938,2.057241916656494,4.925601959228516,4.924285888671875,4.789377689361572,5.062382698059082,1.2030208710077392,0.8039273616430176,331776
Mirror Moderate Bi-Maxwellian,ion,48000,6.333333333333334,2.0070321559906006,0.4982481207464437,2.00736665725708,1.9585715532302856,2.0574443340301514,4.924872398376465,4.923452377319336,4.7876386642456055,5.062301158905029,1.2030509461178447,0.8039812098727559,331776
Mirror Moderate Bi-Maxwellian,ion,48500,6.399305555555555,2.007101535797119,0.4982308977222972,2.0073366165161133,1.9588711261749268,2.05745267868042,4.924173355102539,4.922727584838867,4.788010597229004,5.06113338470459,1.2030797715445534,0.8040217642525658,331776
