step,omega_ci_t,region,q_parallel_mean,q_parallel_abs_mean,q_perp_mean,q_perp_abs_mean
10500,1.3854166666666667,high_y_high_z,-2.0347648972049667e-09,2.3938286619403624e-06,1.0582050075737314e-05,1.0582050075737314e-05
11000,1.4513888888888888,low_y_low_z,4.002264075506729e-09,2.383100009250704e-06,1.0579487573314207e-05,1.0579487573314207e-05
11000,1.4513888888888888,low_y_high_z,-1.6520203604399936e-08,2.3971640586107586e-06,1.0554415546166305e-05,1.0554415546166305e-05
11000,1.4513888888888888,high_y_low_z,8.850024869351112e-09,2.3759967519422623e-06,1.060306670924306e-05,1.060306670924306e-05
11000,1.4513888888888888,high_y_high_z,-3.4269720264684214e-09,2.391625504870288e-06,1.0575488344353167e-05,1.0575488344353167e-05
11500,1.5173611111111112,low_y_low_z,-2.877973139320586e-10,2.3897166527783657e-06,1.0577924979774192e-05,1.0577924979774192e-05
11500,1.5173611111111112,low_y_high_z,-1.564634710562341e-08,2.3989368544337813e-06,1.0594619616034976e-05,1.0594619616034976e-05
11500,1.5173611111111112,high_y_low_z,1.0367067030954875e-08,2.3727280673889093e-06,1.0627919443356429e-05,1.0627919443356429e-05
11500,1.5173611111111112,high_y_high_z,-1.4653989340649238e-09,2.3822039708932204e-06,1.0560690331057587e-05,1.0560690331057587e-05
12000,1.5833333333333335,low_y_low_z,-2.972788059312779e-09,2.3936332436873544e-06,1.0519692685472924e-05,1.0519692685472924e-05
12000,1.5833333333333335,low_y_high_z,-1.8113850929556807e-08,2.387410911328804e-06,1.0587761163767378e-05,1.0587761163767378e-05
12000,1.5833333333333335,high_y_low_z,1.505027242972554e-08,2.38847827768808e-06,1.0562404502452e-05,1.0562404502452e-05
12000,1.5833333333333335,high_y_high_z,1.9677410381827137e-09,2.392640038715012e-06,1.0578958764051401e-05,1.0578958764051401e-05
12500,1.6493055555555556,low_y_low_z,-4.581291683810467e-09,2.384892892999614e-06,1.0572770501127513e-05,1.0572770501127513e-05
12500,1.6493055555555556,low_y_high_z,-1.9790112406954514e-08,2.3982507278247264e-06,1.0557281511704953e-05,1.0557281511704953e-05
12500,1.6493055555555556,high_y_low_z,1.4660192902119801e-08,2.4043584818798265e-06,1.0572824470064758e-05,1.0572824470064758e-05
12500,1.6493055555555556,high_y_high_z,4.3202424734619395e-09,2.398986508413073e-06,1.056594453973884e-05,1.056594453973884e-05
13000,1.715277777777778,low_y_low_z,-7.221641525638554e-09,2.3907525124416126e-06,1.0587059163874028e-05,1.0587059163874028e-05
13000,1.715277777777778,low_y_high_z,-2.0171185276801697e-08,2.3944161612810815e-06,1.0596022465198157e-05,1.0596022465198157e-05
13000,1.715277777777778,high_y_low_z,1.7602883219553032e-08,2.395064639716051e-06,1.0577801063809514e-05,1.0577801063809514e-05
13000,1.715277777777778,high_y_high_z,1.8601302717016255e-09,2.3784853602870887e-06,1.0595887053158855e-05,1.0595887053158855e-05
13500,1.78125,low_y_low_z,-5.7782073515691505e-09,2.3851934873836473e-06,1.0562153914852807e-05,1.0562153914852807e-05
13500,1.78125,low_y_high_z,-1.9236848971721875e-08,2.387715590960361e-06,1.054113729216939e-05,1.054113729216939e-05
13500,1.78125,high_y_low_z,1.796801131266255e-08,2.3973557478755824e-06,1.0527118525178761e-05,1.0527118525178761e-05
13500,1.78125,high_y_high_z,5.146707232492388e-10,2.3780533032635194e-06,1.0572473629227744e-05,1.0572473629227744e-05
14000,1.8472222222222223,low_y_low_z,-1.0284088423799826e-08,2.404043558532036e-06,1.0554473383435833e-05,1.0554473383435833e-05
14000,1.8472222222222223,low_y_high_z,-1.2871701355176916e-08,2.3860379707048818e-06,1.055760366446575e-05,1.055760366446575e-05
