step,omega_ci_t,A_mean,A_median,A_p10,A_p90,T_parallel_mean,T_perp_mean,beta_parallel_mean,beta_parallel_median
12000,1.5833333333333335,2.0038442815006445,2.002511366359964,1.910911558235055,2.098607033402981,0.015930150062260912,0.03189313149434971,4.976953463797123,4.974395144434714
12500,1.6493055555555556,2.0039436678140032,2.0026644281850494,1.9109663777067758,2.0986347849396028,0.01592767240399616,0.03188976749774303,4.9761889583585015,4.97346103493113
13000,1.715277777777778,2.0040263924129005,2.0027663650536027,1.9110556566179413,2.0984156367268083,0.015925306462828782,0.031886377168961186,4.975437889570299,4.972445955328167
13500,1.78125,2.0041362058902843,2.002622588221178,1.9111135389726486,2.0990092865158925,0.015922910427102997,0.03188312264223925,4.97469127650968,4.971722403820138
14000,1.8472222222222223,2.0042231663736336,2.0030340636768056,1.9112514151088666,2.098669922873098,0.01592046735209893,0.031879769438232855,4.973945221635275,4.970506672063948
14500,1.9131944444444446,2.0043020984018023,2.0029884750641984,1.9115557412549573,2.098657458571119,0.015918124638034912,0.03187644732156335,4.973207376341163,4.969977848626565
15000,1.979166666666667,2.0043940870742385,2.0028607168796326,1.9116957534558283,2.09876633608971,0.015915694112603844,0.031873126896653996,4.972463364399379,4.969151732538024
15500,2.045138888888889,2.004485492641629,2.0031445454157084,1.9119048373298175,2.098901632603562,0.015913338204839103,0.031869784171844745,4.971716649326483,4.968664978320945
16000,2.111111111111111,2.004591274782579,2.0031936481833834,1.9119385301672993,2.099350516697576,0.015910900584220344,0.031866441510642156,4.97096345050838,4.967893795722968
16500,2.1770833333333335,2.004683354962943,2.0032464831383034,1.9112676621855331,2.0999343821630863,0.015908607516014264,0.0318631432135586,4.970227784472019,4.967018519266544
17000,2.243055555555556,2.0047591438511136,2.0033425436974435,1.9120759994017682,2.0993922507069867,0.015906185401061923,0.03185976156683324,4.969473693144654,4.965997964145073
17500,2.3090277777777777,2.0048601413319926,2.003297497617682,1.9122644825701005,2.099540510544518,0.015903708232642158,0.031856495796143004,4.968716545515393,4.9656356253252945
18000,2.375,2.004952561671956,2.0035699778412734,1.912085907868081,2.099438442643792,0.015901343184491035,0.031853133635275845,4.968007649218341,4.965175836968744
18500,2.4409722222222223,2.005047624475288,2.0036279857622468,1.9121813723725039,2.0997498316976273,0.01589895977889483,0.0318498548241432,4.967259212921367,4.963997375359257
19000,2.5069444444444446,2.0051446391328778,2.003792879257678,1.9122495659352157,2.099654274046959,0.015896499204034478,0.03184651522020641,4.966497106604682,4.963444188417572
