step,omega_ci_t,E_kin_bulk,E_kin_thermal,E_internal_i,E_internal_e,E_B,E_total,energy_error
240000,31.66666666666667,1.487957654347226e-07,0.037881484931871615,0.03788148493187162,nan,8.373568439680409e-07,0.03788247108448102,-0.054557849024653035
250000,32.986111111111114,1.0620588060451204e-07,0.037819692996826214,0.037819692996826214,nan,8.626475855810906e-07,0.0378206618502924,-0.05610043728905403
260000,34.30555555555556,3.9250390883421225e-07,0.03780397286867642,0.03780397286867643,nan,8.840614964238211e-07,0.03780524943408168,-0.056485088752299205
270000,35.625,7.789026352480025e-08,0.03771729454763219,0.03771729454763219,nan,9.048951565101378e-07,0.03771827733305222,-0.058655672875197754
280000,36.94444444444444,6.44276511204036e-07,0.03775179931532106,0.03775179931532105,nan,9.246505030995784e-07,0.03775336824233536,-0.05777990041889865
290000,38.26388888888889,1.8687040305385082e-07,0.03746946025046076,0.03746946025046075,nan,9.44498996802284e-07,0.03747059161986062,-0.06483722615675391
300000,39.583333333333336,2.2140821058101718e-07,0.03747839601546016,0.03747839601546016,nan,9.65107480448532e-07,0.03747958253115118,-0.06461283777166617
310000,40.90277777777778,5.209952058136058e-07,0.0374630986867903,0.03746309868679029,nan,9.915084384905253e-07,0.0374646111904346,-0.06498648120528762
320000,42.22222222222222,7.201472242135356e-07,0.03754184117584687,0.03754184117584687,nan,1.0153510481404818e-06,0.03754357667411923,-0.06301572020131005
330000,43.54166666666667,1.085315984514646e-06,0.03732982101438417,0.03732982101438417,nan,1.0339211108393812e-06,0.03733194025147952,-0.06829758246945505
340000,44.861111111111114,1.3090795273189342e-06,0.03729872474625004,0.03729872474625003,nan,1.0553397759659113e-06,0.037301089165553324,-0.06906754061112275
350000,46.18055555555556,1.4279815057303496e-06,0.0370848405157185,0.0370848405157185,nan,1.07362489280372e-06,0.03708734212211703,-0.0744020781617584
360000,47.5,1.407394383655289e-06,0.03704696810313611,0.03704696810313611,nan,1.1026324782376947e-06,0.037049478129998,-0.07534705912864652
