step,omega_ci_t,delta_B_rms,delta_B_rms_over_B0,delta_B_parallel_rms,delta_B_parallel_rms_over_B0,delta_B_perp_rms,delta_B_perp_rms_over_B0,B_min,mirror_depth,mirror_area_fraction,magnetic_energy_fluct
41500,5.475694444444445,0.0008116549944779932,0.010145687430974914,0.0008111956114658971,0.010139945143323713,0.001789124160160918,0.022364052002011473,0.07625078316759913,0.046865210405010904,0.1524070457175926,3.293919150305356e-07
42000,5.541666666666667,0.0008126176353680205,0.010157720442100256,0.0008123294286545852,0.010154117858182316,0.0017915141426484683,0.022393926783105852,0.07635815017726956,0.04552312278413051,0.153076171875,3.3017371065555655e-07
42500,5.607638888888889,0.0008168511222822231,0.010210639028527788,0.0008164676181949566,0.010205845227436956,0.0017911539153304494,0.022389423941630616,0.07631461164937146,0.046067354382856696,0.15299780574845678,3.3362287798686374e-07
43000,5.673611111111112,0.0008192698024211758,0.010240872530264697,0.0008188838052676821,0.010236047565846026,0.0017954576435484193,0.02244322054435524,0.0765913929975581,0.04260758753052374,0.15352828414351852,3.3560150457961625e-07
43500,5.739583333333334,0.0008227037742338818,0.010283797177923522,0.000822346190481821,0.010279327381022763,0.0017962393507518924,0.022452991884398654,0.07621644941983605,0.047294382252049405,0.1529224537037037,3.3842075006933696e-07
44000,5.805555555555555,0.0008207723180725166,0.010259653975906457,0.0008203409073555527,0.01025426134194441,0.0017997841712573295,0.02249730214071662,0.07626940027442926,0.04663249656963431,0.15225634162808643,3.3683359905706616e-07
44500,5.871527777777778,0.0008262488734644327,0.010328110918305409,0.000825956830346968,0.0103244603793371,0.0018006266180879253,0.022507832726099065,0.07604793921949234,0.049400759756345836,0.15254267939814814,3.413436004506221e-07
45000,5.9375,0.0008285725413149927,0.010357156766437408,0.0008282718882683896,0.01035339860335487,0.0018024992204000465,0.02253124025500058,0.07643186332806254,0.04460170839921829,0.15281696084104937,3.432662281105926e-07
45500,6.003472222222222,0.0008299655143103691,0.010374568928879615,0.0008295419801851263,0.010369274752314079,0.0017998521982324975,0.02249815247790622,0.07653112157432351,0.043360980320956144,0.15254569347993827,3.444213774722378e-07
46000,6.069444444444445,0.0008336881811038694,0.010421102263798367,0.000833378173200715,0.010417227165008938,0.0018039930341054303,0.02254991292631788,0.07603637180583722,0.04954535242703473,0.15281394675925927,3.475179916561391e-07
46500,6.135416666666667,0.0008363833175910598,0.010454791469888248,0.000835993273937169,0.010449915924214612,0.0018055527501925845,0.022569409377407305,0.07625774672373868,0.04677816595326645,0.15327510127314814,3.497685269723138e-07
47000,6.201388888888889,0.0008370815970145243,0.010463519962681554,0.000836719428173529,0.010458992852169112,0.0018067395650617581,0.022584244563271978,0.07638605834567623,0.04517427067904711,0.1536548755787037,3.503528000301933e-07
47500,6.267361111111112,0.0008381618159988109,0.010477022699985135,0.0008378004293071394,0.010472505366339242,0.0018111246497636605,0.022639058122045756,0.07624193539157026,0.04697580760537179,0.1528440875771605,3.5125761489921225e-07
48000,6.333333333333334,0.0008416269896008494,0.010520337370010617,0.0008412487161035443,0.010515608951294303,0.0018128599530611656,0.02266074941326457,0.07603382961466741,0.049577129816657406,0.15278983410493827,3.541679948122942e-07
48500,6.399305555555555,0.0008457646444228323,0.010572058055285403,0.0008453970282622055,0.010567462853277568,0.001814578721877029,0.022682234023462863,0.07639987555452758,0.04500155556840524,0.1525487075617284,3.5765891687784e-07
49000,6.465277777777778,0.0008469348975671493,0.010586686219589367,0.0008466092475473582,0.010582615594341977,0.0018141913986020552,0.02267739248252569,0.07634473465106212,0.04569081686172349,0.15250048225308643,3.5864936035853884e-07
49500,6.53125,0.0008486319193991554,0.010607898992489442,0.0008483210345615981,0.010604012932019976,0.0018202630096934894,0.022753287621168617,0.07616868421418413,0.047891447322698455,0.15268132716049382,3.600880673115473e-07
50000,6.597222222222222,0.0008508026245302393,0.010635032806627991,0.0008504026348981015,0.01063003293622627,0.0018247130185601586,0.02280891273200198,0.07621850000082708,0.04726874998966146,0.1531665943287037,3.6193255295377165e-07
50500,6.663194444444444,0.0008537306142702878,0.010671632678378597,0.0008533869588812997,0.010667336986016246,0.0018257345630355454,0.022821682037944317,0.07602999952714119,0.049625005910735154,0.15290436921296297,3.6442798087116144e-07
51000,6.729166666666668,0.0008558211256734649,0.010697764070918311,0.0008555347947492914,0.010694184934366142,0.001827508885704866,0.022843861071310825,0.07607172222870502,0.049103472141187265,0.1528440875771605,3.6621489957449833e-07
51500,6.795138888888889,0.0008570773185620218,0.010713466482025273,0.0008567469800381877,0.010709337250477347,0.0018304747495130119,0.02288093436891265,0.07634103362241007,0.045737079719874174,0.15294355227623457,3.672907649967327e-07
52000,6.861111111111112,0.0008591119609211604,0.010738899511514506,0.0008588651936301694,0.010735814920377118,0.0018296868330730301,0.022871085413412876,0.07597901436306614,0.05026232046167323,0.15268132716049382,3.690366806989007e-07
52500,6.927083333333333,0.000863952741114405,0.010799409263930061,0.0008636274275744417,0.010795342844680521,0.0018295391691775206,0.022869239614719008,0.0762629878459938,0.046712651925077564,0.15311234085648148,3.7320716943954704e-07
53000,6.993055555555555,0.0008648537412744956,0.010810671765931194,0.0008644233291202745,0.01080529161400343,0.001832812185731505,0.022910152321643812,0.0762216303544994,0.04722962056875746,0.15240403163580246,3.739859968982461e-07
53500,7.059027777777779,0.0008675311447139597,0.010844139308924496,0.0008671701505602632,0.01083962688200329,0.0018345895558924128,0.02293236944865516,0.07590041840804868,0.05124476989939153,0.1525125385802469,3.7630514352435667e-07
54000,7.125,0.0008683768129134358,0.010854710161417947,0.0008680327411684531,0.010850409264605664,0.001834682718977731,0.022933533987221637,0.07632457966525547,0.04594275418430671,0.15304000289351852,3.770391446028482e-07
54500,7.190972222222222,0.0008701087669887226,0.010876359587359032,0.00086979376863722,0.01087242210796525,0.0018380886116788938,0.022976107645986173,0.0759742046448831,0.05032244193896129,0.15304301697530864,3.785446331953176e-07
55000,7.256944444444444,0.0008689848268745268,0.010862310335931585,0.0008687069236743816,0.010858836545929769,0.0018364421329099083,0.022955526661373852,0.07611713229314157,0.04853584633573038,0.1530369888117284,3.775673146690756e-07
