step,omega_ci_t,corr_A_deltaB,corr_A_Bmag,corr_A_Jdia,corr_A_rho_i
20000,2.638888888888889,0.00361166423427274,0.0036116642342727437,-0.002886703063449724,0.00796099960271397
20500,2.704861111111111,-0.00018197956690556573,-0.0001819795669055646,-0.0042249878854436675,0.006702849160165698
21000,2.7708333333333335,0.0046826300797533065,0.004682630079753294,0.0028464291768860424,0.0066214388598077505
21500,2.836805555555556,0.0009837083495090263,0.0009837083495090248,0.000585856229666099,0.009327519304766881
22000,2.9027777777777777,0.0004612804354254514,0.0004612804354254516,-0.00433213355118429,0.007944461073171703
22500,2.96875,0.00234149941026701,0.00234149941026701,-0.0013325849821990627,0.00973319110524558
23000,3.0347222222222223,0.003076408965553691,0.0030764089655536957,0.00136131205768362,0.009046978761212276
23500,3.1006944444444446,-0.0003739952996942291,-0.0003739952996942277,-0.0009182620969904755,0.00838480975628706
24000,3.166666666666667,0.0013339137015931503,0.0013339137015931464,0.001638375997512129,0.00880467703593444
24500,3.232638888888889,-0.0007874598303401211,-0.0007874598303401226,-0.0011713499980175641,0.010921242313289206
25000,3.298611111111111,-0.002766420572432598,-0.002766420572432598,0.0004862513556244854,0.009704621216316912
25500,3.364583333333334,-0.0016452560698733505,-0.0016452560698733477,-0.0020551410364727835,0.007264907101926561
26000,3.430555555555556,0.0021532704623113447,0.002153270462311345,0.003202438371125364,0.012057900980077144
26500,3.4965277777777777,-0.0028079225914453684,-0.002807922591445371,0.0005605944068635078,0.011898297466273014
27000,3.5625,-0.001743748046458673,-0.0017437480464586725,-0.00302946062765286,0.010984895217979853
27500,3.628472222222222,0.0018441349062595837,0.0018441349062595853,0.004487555319272528,0.007800579587339053
28000,3.6944444444444446,-0.001347408778910429,-0.0013474087789104295,-0.00029278422222494464,0.0074951895262138305
28500,3.7604166666666665,-0.0007034703264520147,-0.0007034703264520123,0.0024356209401436672,0.006428971177599324
29000,3.8263888888888893,0.004568225451024809,0.0045682254510248125,5.026838669901335e-05,0.007814093187769931
29500,3.892361111111111,-0.0007973167224166745,-0.0007973167224166739,0.0006004814806827958,0.006601883886914591
30000,3.958333333333334,0.002776667489180789,0.0027766674891807905,-0.0013319842331310143,0.008862337991313075
30500,4.024305555555555,0.00110854384019624,0.0011085438401962412,-5.638908914344655e-05,0.003825880919235838
