step,omega_ci_t,kappa_fit,maxwellian_sigma,kappa_sigma,error_maxwellian,error_kappa,error_tail_maxwellian,error_tail_kappa,suprathermal_fraction
240000,31.66666666666667,79.99999999999983,0.008731631236254955,0.008774146924368441,0.031090072503060485,0.038411070742586276,nan,nan,3.994312099570212e-05
250000,32.986111111111114,79.99999999999997,0.008711968849530783,0.008754369386294977,0.02821265853522675,0.03365113472517478,nan,nan,7.99488327470419e-06
260000,34.30555555555556,79.99999999999618,0.008762566053020933,0.008805385417562768,0.03323238037350861,0.03971930056953603,nan,nan,3.200512081933109e-05
270000,35.625,79.99999999999999,0.008697541173273904,0.008739683418390608,0.03292921344627617,0.03960628239342278,nan,nan,2.0041445709727718e-05
280000,36.94444444444444,79.99999999999999,0.008724873102657633,0.008767286393972758,0.03206759896213609,0.037806998582591865,nan,nan,1.2016823552974163e-05
290000,38.26388888888889,79.99999999999521,0.008688345031254211,0.008730652043016988,0.030230127618768574,0.03538531380826045,nan,nan,1.600377689134636e-05
300000,39.583333333333336,79.99999999999999,0.00872629374325369,0.008768692613421388,0.031149815151487754,0.038630618557906164,nan,nan,7.994499784148506e-06
310000,40.90277777777778,79.9999999999999,0.008741946140565992,0.00878468112647,0.03289047115925618,0.038848194975950164,nan,nan,2.8013222240897703e-05
320000,42.22222222222222,79.99999999992899,0.00873595169584597,0.008778513346647074,0.030949884918774977,0.0380217003003034,nan,nan,1.1993427601674282e-05
330000,43.54166666666667,79.99999999999999,0.008725533751811319,0.008767977597799678,0.0337938659491001,0.04119600105732318,nan,nan,4.000736135448922e-06
340000,44.861111111111114,79.99999999999999,0.008683963362347549,0.008726003828914683,0.030122854342700532,0.03672671634524761,nan,nan,4.000192009216443e-06
350000,46.18055555555556,79.99999999999999,0.008706955601621682,0.008749403080452373,0.03219511154884819,0.03889285790966729,nan,nan,1.1976526009022316e-05
360000,47.5,79.99999999999999,0.008716882954915711,0.008758976431728177,0.034613357504218935,0.04177508665775148,nan,nan,3.2010115196402066e-05
